,Importance
Entity_World,0.3090462398347154
Code_OWID_WRL,0.2981614668485033
Year,0.11730278916297628
Entity_Asia Pacific,0.10406851893546537
Entity_North America,0.09071366173025829
Entity_United States,0.025279308427092008
Code_USA,0.019427584282454537
Entity_Europe,0.01634263234593612
Code_PHL,0.008441022994771924
Entity_Philippines,0.008384217893490031
Entity_Turkey,0.0005497416501731794
Code_TUR,0.0004605924856970512
Entity_Other South & Central America,0.00029218602819516343
Entity_Other Europe,0.0002830831112036257
Code_HND,0.00013394080362895378
Entity_Croatia,0.00012825906189449033
Entity_France,0.00011500398216746659
Code_FRA,0.00010720448364571678
Code_ETH,9.417672569693287e-05
Code_HRV,9.024702360458114e-05
Entity_Ethiopia,9.006851229985802e-05
Entity_Germany,8.332340946394229e-05
Entity_Honduras,8.042493846995693e-05
Code_DEU,6.258565167055819e-05
Entity_China,4.564324045952663e-05
Entity_Chile,4.021285985131315e-05
Code_PNG,3.7980030013153955e-05
Entity_Portugal,3.703114647600128e-05
Code_CHN,3.231636940053116e-05
Code_GTM,1.6937275746937878e-05
Entity_Papua New Guinea,1.5215636606331814e-05
Code_KEN,1.3654143886036363e-05
Entity_Guatemala,1.1791724183505727e-05
Code_RUS,9.924495800976863e-06
Code_PRT,6.533978005748923e-07
Entity_El Salvador,2.851455407408287e-07
Code_SLV,7.42107596845814e-08
Code_CRI,0.0
Entity_Nicaragua,0.0
Code_NIC,0.0
Entity_Russia,0.0
Entity_CIS,0.0
Entity_Costa Rica,0.0
Entity_Kenya,0.0
